Title,Year
"Bayesian Data Analysis, 3rd Edition",2013
Genetic heterogeneity of diffuse large B-cell lymphoma,2013
Generalized double Pareto shrinkage,2013
Bayesian consensus clustering,2013
Parallelizing MCMC via Weierstrass sampler,2013
Deep learning with hierarchical convolutional factor analysis,2013
Bayesian Gaussian copula factor models for mixed data,2013
Multivariate convex regression with adaptive partitioning,2013
Efficient Gaussian process regression for large datasets,2013
Posterior consistency in conditional distribution estimation,2013
Multichannel electrophysiological spike sorting via joint dictionary learning and mixture modeling,2013
Posterior consistency in linear models under shrinkage priors,2013
Bayesian variable selection in quantile regression,2013
Bayesian crack detection in ultra high resolution multimodal images of paintings,2013
Locally adaptive Bayes nonparametric regression via nested Gaussian processes,2013
Bayesian modeling of temporal dependence in large sparse contingency tables,2013
Lipid adjustment for chemical exposures: accounting for concomitant variables,2013
Diagonal orthant multinomial probit models,2013
Bayesian learning of joint distributions of objects,2013
Spatio-temporal modeling of legislation and votes,2013
Sequential markov chain monte carlo,2013
Classification via Bayesian nonparametric learning of affine subspaces,2013
Nonparametric Bayes modelling of count processes,2013
Parallel inversion of huge covariance matrices,2013
Analysis of space–time relational data with application to legislative voting,2013
Generalized admixture mapping for complex traits,2013
Multiscale dictionary learning for estimating conditional distributions,2013
Two-sample testing with dirichlet mixtures,2013
Approximated Bayesian inference for massive streaming data,2013
Locally adaptive Bayesian multivariate time series,2013
The genetic landscape of mantle cell lymphoma and the epigenetic origins of lineage specific mutations,2013
Bayesian inference on the Stiefel manifold,2013
DISC1 Gene Locus Disruption Impairs Corticostriatal Circuit Function,2013
Learning Densities Conditional on Many Interacting Features,2013
A Bayesian nonparametric model for data on diﬀerent scales of measure; an application to customer base management of telecommunications companies.,2013
The genomic landscape of mantle cell lymphoma is related to the epigenetically determined chromatin state of normal B cells,2014
Scalable Bayesian low-rank decomposition of incomplete multiway tensors,2014
Posterior contraction in sparse Bayesian factor models for massive covariance matrices,2014
Scalable and robust Bayesian inference via the median posterior,2014
Nonparametric Bayes dynamic modelling of relational data,2014
Bayesian monotone regression using Gaussian process projection,2014
Anisotropic function estimation using multi-bandwidth Gaussian processes,2014
Improving prediction from Dirichlet process mixtures via enrichment,2014
Bayes variable selection in semiparametric linear models,2014
Median selection subset aggregation for parallel inference,2014
Bayesian conditional density filtering,2014
Bayesian nonparametric regression with varying residual density,2014
Locally adaptive factor processes for multivariate time series,2014
Functional clustering in nested designs: modeling variability in reproductive epidemiology studies,2014
Bayesian dynamic financial networks with time-varying predictors,2014
Latent factor models for density estimation,2014
Minimax optimal Bayesian aggregation,2014
Enriched stick-breaking processes for functional data,2014
Bayesian logistic gaussian process models for dynamic networks,2014
Bayesian multiscale modeling of closed curves in point clouds,2014
Digital cradle removal in X-ray images of art paintings,2014
Generalized dynamic factor models for mixed-measurement time series,2014
Semiconvex regression for metamodeling-based optimization,2014
Mechanistic hierarchical Gaussian processes,2014
Scalable multiscale density estimation,2014
Bayesian modeling of temporal properties of infectious disease in a college student population,2014
Learning phenotype densities conditional on many interacting predictors,2014
Bayesian Conditional Density Filtering,2014
Adaptive sampling for Bayesian geospatial models,2014
Compressed gaussian process,2014
Nonparametric Bayes,2014
Finite sample posterior concentration in high-dimensional regression,2014
Chemical Genomics Reveals JAK STAT Activation As a Mechanism of Resistance to HDAC Inhibitors in B Cell Lymphomas,2014
A Bayesian Nonparametric Modeling Framework for Developmental Toxicity Studies Comment,2014
Prefrontal Cortex-amygdalar Circuit Dynamics Predict Stress Susceptibility,2014
Fertility Studies,2014
Transgenic Mouse Model,2014
Dirichlet–Laplace priors for optimal shrinkage,2015
Male mice song syntax depends on social contexts and influences female preferences,2015
WASP: Scalable Bayes via barycenters of subset posteriors,2015
Bayesian factorizations of big sparse tensors,2015
Parallelizing MCMC with random partition trees,2015
Bayesian compressed regression,2015
Bayesian nonparametric covariance regression,2015
Approximations of Markov chains and high-dimensional Bayesian inference,2015
Benchmark pregnancy rates and the assessment of post-coital contraceptives: an update,2015
Marginally specified priors for non‐parametric Bayesian estimation,2015
A hybrid Bayesian approach for genome-wide association studies on related individuals,2015
Shared kernel Bayesian screening,2015
Uncovering systematic bias in ratings across categories: A Bayesian approach,2015
Quantifying uncertainty in variable selection with arbitrary matrices,2015
Scalable approximations of marginal posteriors in variable selection,2015
Semiparametric Bernstein-von Mises Theorem: Second Order Studies,2015
On the consistency theory of high dimensional variable screening,2015
Joint eQTL assessment of whole blood and dura mater tissue from individuals with Chiari type I malformation,2015
