Title,Year
"Bayesian Data Analysis, 3rd Edition",2013
High cumulative incidence of uterine leiomyoma in black and white women: ultrasound evidence,2003
Changes with age in the level and duration of fertility in the menstrual cycle,2002
Increased infertility with age in men and women,2004
Multitask compressive sensing,2008
The timing of the “fertile window” in the menstrual cycle: day specific estimates from a prospective study,2000
The genetic landscape of mutations in Burkitt lymphoma,2012
Genetic heterogeneity of diffuse large B-cell lymphoma,2013
Deficiency of either cyclooxygenase (COX)-1 or COX-2 alters epidermal differentiation and reduces mouse skin tumorigenesis,2002
Likelihood of conception with a single act of intercourse: providing benchmark rates for assessment of post-coital contraceptives,2001
Nonparametric Bayesian dictionary learning for analysis of noisy and incomplete images,2011
The nested Dirichlet process,2008
Bayesian latent variable models for clustered mixed outcomes,2000
Kernel stick-breaking processes,2008
Sparse Bayesian infinite factor models,2011
Probabilistic topic models,2010
Genetic and functional drivers of diffuse large B cell lymphoma,2017
Generalized double Pareto shrinkage,2013
Bayesian density regression,2007
Random effects selection in linear mixed models,2003
Commentary: practical advantages of Bayesian analysis of epidemiologic data,2001
How to make more out of community data? A conceptual framework and its implementation as models and software,2017
Day-specific probabilities of clinical pregnancy based on two studies with imperfect measures of ovulation,1999
Dirichlet–Laplace priors for optimal shrinkage,2015
Mucus observations in the fertile window: a better predictor of conception than timing of intercourse,2004
Beta-negative binomial process and Poisson factor analysis,2012
Why is parity protective for uterine fibroids?,2003
Nonparametric Bayes modeling of multivariate categorical data,2009
"Breast-feeding and the prevalence of asthma and wheeze in children: analyses from the Third National Health and Nutrition Examination Survey, 1988-1994",2003
Compressive sensing on manifolds using a nonparametric mixture of factor analyzers: Algorithm and performance bounds,2010
On the frequency of intercourse around ovulation: evidence for biological influences,2004
Bayesian spatial quantile regression,2011
Nonparametric Bayes conditional distribution modeling with variable selection,2009
Nonparametric Bayesian models through probit stick-breaking processes,2011
Dynamic latent trait models for multidimensional longitudinal data,2003
Bayesian multivariate logistic regression,2004
The dynamic hierarchical Dirichlet process,2008
Default prior distributions and efficient posterior computation in Bayesian factor analysis,2009
Bayesian consensus clustering,2013
The genomic landscape of mantle cell lymphoma is related to the epigenetically determined chromatin state of normal B cells,2014
"Prospective study of breast-feeding in relation to wheeze, atopy, and bronchial hyperresponsiveness in the Avon Longitudinal Study of Parents and Children (ALSPAC)",2008
Fixed and random effects selection in linear and logistic models,2007
Parallelizing MCMC via Weierstrass sampler,2013
Nonparametric Bayes applications to biostatistics,2010
Bayesian isotonic regression and trend analysis,2004
Generalized beta mixtures of Gaussians,2011
Maternal serum level of the DDT metabolite DDE in relation to fetal loss in previous pregnancies,2005
Bayesian latent variable models for mixed discrete outcomes,2005
Bayesian methods for highly correlated exposure data,2007
A Bayesian approach for joint modeling of cluster size and subunit‐specific outcomes,2003
Approximate Bayesian inference for quantiles,2005
Bayesian dynamic modeling of latent trait distributions,2006
Deep learning with hierarchical convolutional factor analysis,2013
Natural limits of pregnancy testing in relation to the expected menstrual period,2001
Bayesian Gaussian copula factor models for mixed data,2013
Mutational fingerprints of aging,2002
Male mice song syntax depends on social contexts and influences female preferences,2015
Vulvar mucus observations and the probability of pregnancy,2003
Scalable Bayesian low-rank decomposition of incomplete multiway tensors,2014
Multivariate convex regression with adaptive partitioning,2013
Fast Bayesian inference in Dirichlet process mixture models,2011
Association of physical activity with development of uterine leiomyoma,2007
WASP: Scalable Bayes via barycenters of subset posteriors,2015
Efficient Gaussian process regression for large datasets,2013
Bayesian covariance selection in generalized linear mixed models,2006
Lognormal and gamma mixed negative binomial regression,2012
Using latent variable models to identify large networks of species‐to‐species associations at different spatial scales,2016
The local Dirichlet process,2011
Dependent hierarchical beta process for image interpolation and denoising,2011
Bayesian inference on order‐constrained parameters in generalized linear models,2003
The relationship between cervical secretions and the daily probabilities of pregnancy: effectiveness of the TwoDay Algorithm,2001
The genetic basis of hepatosplenic T-cell lymphoma,2017
"Maternal Serum Levels of Polychlorinated Biphenyls and 1,1-Dichloro-2,2-bis(p-chlorophenyl)ethylene (DDE) and Time to Pregnancy",2005
Bayesian structural equation modeling,2007
Bayesian selection and clustering of polymorphisms in functionally related genes,2008
Nonparametric Bayes modeling of populations of networks,2017
Robust and scalable Bayes via a median of subset posterior measures,2017
