Title,Year
High cumulative incidence of uterine leiomyoma in black and white women: ultrasound evidence,2003
Random effects selection in linear mixed models,2003
Why is parity protective for uterine fibroids?,2003
"Breast-feeding and the prevalence of asthma and wheeze in children: analyses from the Third National Health and Nutrition Examination Survey, 1988-1994",2003
Dynamic latent trait models for multidimensional longitudinal data,2003
A Bayesian approach for joint modeling of cluster size and subunit‐specific outcomes,2003
Vulvar mucus observations and the probability of pregnancy,2003
Bayesian inference on order‐constrained parameters in generalized linear models,2003
Bayesian latent variable models for median regression on multiple outcomes,2003
Bayesian modeling of markers of day-specific fertility,2003
Bayesian Inferences in the Cox Model for Order‐Restricted Hypotheses,2003
Bayesian modeling of time‐varying and waning exposure effects,2003
Incorporating heterogeneous intercourse records into time to pregnancy models,2003
Bayesian inferences on shape constrained hormone trajectories in the menstrual cycle,2003
Effect of antioxidants on the papilloma response and liver glutathione modulation mediated by arsenic in Tg. AC transgenic mice,2003
Bayesian Inferences on Shape Constrained Hormone Trajectories In The...,2003
Uterine fibroids are common in middle aged women,2003
Increased infertility with age in men and women,2004
Mucus observations in the fertile window: a better predictor of conception than timing of intercourse,2004
On the frequency of intercourse around ovulation: evidence for biological influences,2004
Bayesian multivariate logistic regression,2004
Bayesian isotonic regression and trend analysis,2004
Methodologic and statistical approaches to studying human fertility and environmental exposure.,2004
Selecting factors predictive of heterogeneity in multivariate event time data,2004
Bayesian isotonic regression for discrete outcomes,2004
Bayesian estimation of survival functions under stochastic precedence,2004
Bayesian Modeling of Multiple Lesion Onset and Growth from Interval‐Censored Data,2004
Modeling the effects of a bidirectional latent predictor from multivariate questionnaire data,2004
Studying Human Fertility: Response to Slama et al. and Joffe et al.,2004
Bayesian isotonic regression in epidemiology.,2004
Symposium: Application of Bayesian methods in epidemiology.,2004
"Day-Specific Probabilities of Conception in the Menstrual Cycle Joseph B. Stanford, MD, MSPH",2004
Maternal serum level of the DDT metabolite DDE in relation to fetal loss in previous pregnancies,2005
Bayesian latent variable models for mixed discrete outcomes,2005
Approximate Bayesian inference for quantiles,2005
"Maternal Serum Levels of Polychlorinated Biphenyls and 1,1-Dichloro-2,2-bis(p-chlorophenyl)ethylene (DDE) and Time to Pregnancy",2005
Bayesian semiparametric isotonic regression for count data,2005
Bayesian structural equation modeling,2005
Bayesian inferences on predictors of conception probabilities,2005
A transformation approach for incorporating monotone or unimodal constraints,2005
Bayesian model selection and averaging in additive and proportional hazards models,2005
Reduced fertilization rates in older men when cervical mucus is suboptimal,2005
Bayesian inferences on umbrella orderings,2005
Estimation of order-restricted means from correlated data,2005
Semiparametric classification in hierarchical functional data analysis,2005
Variable selection in nonparametric random effects models,2005
