"DOI","year","title","citCounts"
"1","10.1214/12-AOS1008",2012,"Rerandomization to improve covariate balance in experiments",0
"2","10.1214/12-AOS1006",2012,"Realized {L}aplace transforms for pure-jump semimartingales",0
"3","10.1214/12-AOS1003",2012,"Degrees of freedom in lasso problems",0
"4","10.1214/12-AOS1000",2012,"Noisy matrix decomposition via convex relaxation: optimal rates in high dimensions",0
"5","10.1214/12-AOS995",2012,"Nonparametric regression with nonparametrically generated covariates",0
"6","10.1214/12-AOS1005",2012,"Bayesian empirical likelihood for quantile regression",0
"7","10.1214/12-AOS997",2012,"Characterizing {$L_2$}{B}oosting",0
"8","10.1214/12-AOS991",2012,"Estimation of means in graphical {G}aussian models with symmetries",0
"9","10.1214/12-AOS989",2012,"Nonlinear shrinkage estimation of large-dimensional covariance matrices",0
"10","10.1214/12-AOS986",2012,"Maximum likelihood estimation in log-linear models",0
"11","10.1214/11-AOS955",2012,"Bayesian nonparametric estimation of the spectral density of a long or intermediate memory {G}aussian process",0
"12","10.1214/12-AOS994",2012,"Manifold estimation and singular deconvolution under {H}ausdorff loss",0
"13","10.1214/12-AOS993",2012,"Two sample tests for high-dimensional covariance matrices",0
"14","10.1214/12-AOS987",2012,"Uniform fractional factorial designs",0
"15","10.1214/12-AOS974",2012,"Bayes factors and the geometry of discrete hierarchical loglinear models",0
"16","10.1214/11-AOS965",2012,"General nonexact oracle inequalities for classes with a subexponential envelope",0
"17","10.1214/12-AOS982",2012,"Estimation in high-dimensional linear models with deterministic design matrices",0
"18","10.1214/12-AOS978",2012,"Perturbation and scaled {C}ook's distance",0
"19","10.1214/12-AOS977",2012,"Modeling high-frequency financial data by pure jump processes",0
"20","10.1214/12-AOS975",2012,"A specification test for nonlinear nonstationary models",0
"21","10.1214/12-AOS970",2012,"Factor modeling for high-dimensional time series: inference for the number of factors",0
"22","10.1214/12-AOS969",2012,"A {R}obbins-{M}onro procedure for estimation in semiparametric regression models",0
"23","10.1214/11-AOS961",2012,"Kullback-{L}eibler aggregation and misspecified generalized linear models",0
"24","10.1214/11-AOS918",2011,"Robust linear least squares regression",0
"25","10.1214/11-AOS917",2011,"Fully {B}ayes factors with a generalized {$g$}-prior",0
"26","10.1214/11-AOS915",2011,"Principal components analysis in the space of phylogenetic trees",0
"27","10.1214/11-AOS914",2011,"Robust recovery of multiple subspaces by geometric {$l_p$} minimization",0
"28","10.1214/11-AOS913",2011,"Computational approaches for empirical {B}ayes methods and {B}ayesian sensitivity analysis",0
"29","10.1214/11-AOS920",2011,"Bayesian inverse problems with {G}aussian priors",0
"30","10.1214/11-AOS919",2011,"Penalized maximum likelihood estimation and variable selection in geostatistics",0
"31","10.1214/11-AOS916",2011,"A spectral analytic comparison of trace-class data augmentation algorithms and their sandwich variants",0
"32","10.1214/11-AOS912",2011,"Bernstein-von {M}ises theorems for {G}aussian regression with increasing number of regressors",1
"33","10.1214/11-AOS910",2011,"Global testing under sparse alternatives: {ANOVA}, multiple comparisons and the higher criticism",0
"34","10.1214/11-AOS908",2011,"Asymptotic normality and valid inference for {G}aussian variational approximation",0
"35","10.1214/11-AOS907",2011,"On deconvolution of distribution functions",0
"36","10.1214/11-AOS906",2011,"Semiparametrically efficient inference based on signed ranks in symmetric independent component models",0
"37","10.1214/11-AOS905",2011,"Factor models and variable selection in high-dimensional regression analysis",0
"38","10.1214/11-AOS903",2011,"On adaptive inference and confidence bands",0
"39","10.1214/11-AOS902",2011,"Evaluating probability forecasts",0
"40","10.1214/11-AOS898",2011,"Optimal estimation of the mean function based on discretely sampled functional data: phase transition",0
"41","10.1214/11-AOS894",2011,"Nuclear-norm penalization and optimal rates for noisy low-rank matrix completion",0
"42","10.1214/11-AOS904",2011,"The method of moments and degree distributions for network models",0
"43","10.1214/11-AOS881",2011,"Remembering {E}rich {L}ehmann",0
"44","10.1214/11-AOS927",2011,"Erich {L}eo {L}ehmann---a glimpse into his life and work",0
"45","10.1214/11-AOS928",2011,"Introduction to the {L}ehmann special section",0
"46","10.1214/11-AOS901",2011,"Statistical inference for time-changed {L}\'evy processes via composite characteristic function estimation",1
"47","10.1214/11-AOS896",2011,"Oracle inequalities and optimal inference under group sparsity",0
"48","10.1214/11-AOS895",2011,"Global self-weighted and local quasi-maximum exponential likelihood estimators for {ARMA}-{GARCH}/{IGARCH} models",0
"49","10.1214/11-AOS900",2011,"On the range of validity of the autoregressive sieve bootstrap",0
"50","10.1214/11-AOS899",2011,"Parametric or nonparametric? {A} parametricness index for model selection",1
"51","10.1214/11-AOS893",2011,"Parameter estimation for rough differential equations",0
"52","10.1214/11-AOS897",2011,"The sparse {L}aplacian shrinkage estimator for high-dimensional regression",0
"53","10.1214/11-AOS892",2011,"On {B}ayes' theorem for improper mixtures",0
"54","10.1214/11-AOS890",2011,"New estimators of the {P}ickands dependence function and a test for extreme-value dependence",0
"55","10.1214/11-AOS889",2011,"Stochastic expansions using continuous dictionaries: {L}\'evy adaptive regression kernels",0
"56","10.1214/11-AOS887",2011,"Spectral clustering and the high-dimensional stochastic blockmodel",1
"57","10.1214/11-AOS888",2011,"Optimal model selection for density estimation of stationary data under various mixing conditions",0
"58","10.1214/11-AOS885",2011,"Estimation and variable selection for generalized additive partial linear models",0
"59","10.1214/11-AOS891",2011,"Estimation of extreme risk regions under multivariate regular variation",0
"60","10.1214/11-AOS886",2011,"Iterated filtering",0
"61","10.1214/11-AOS884",2011,"A majorization-minimization approach to variable selection using spike and slab priors",0
"62","10.1214/11-AOS882",2011,"Single and multiple index functional regression models with nonparametric link",0
"63","10.1214/11-AOS873",2011,"Testing whether jumps have finite or infinite activity",0
"64","10.1214/10-AOS871",2011,"The {EFM} approach for single-index models",0
"65","10.1214/10-AOS852",2011,"Nonparametric least squares estimation of a multivariate convex regression function",0
"66","10.1214/11-AOS883",2011,"Bandwidth selection in kernel density estimation: oracle inequalities and adaptive minimax optimality",0
"67","10.1214/11-AOS874",2011,"Change-point in stochastic design regression and the bootstrap",0
"68","10.1214/10-AOS869",2011,"Asymptotic {B}ayes-optimality under sparsity of some multiple testing procedures",0
"69","10.1214/10-AOS861",2011,"Uniform moment bounds of {F}isher's information with applications to time series",0
"70","10.1214/11-AOS879",2011,"Limiting laws of coherence of random matrices with applications to testing covariance structure and construction of compressed sensing matrices",2
"71","10.1214/10-AOS872",2011,"Asymptotic equivalence of functional linear regression and a white noise inverse problem",0
"72","10.1214/10-AOS868",2011,"T{FT}-bootstrap: resampling time series in the frequency domain to obtain replicates in the time domain",1
"73","10.1214/10-AOS867",2011,"Asymptotic properties of {$U$}-processes under long-range dependence",0
"74","10.1214/11-AOS880",2011,"Higher order scrambled digital nets achieve the optimal rate of the root mean square error for smooth integrands",0
"75","10.1214/11-AOS878",2011,"The solution path of the generalized lasso",2
"76","10.1214/11-AOS877",2011,"On construction of optimal mixed-level supersaturated designs",0
"77","10.1214/11-AOS876",2011,"Optimal selection of reduced rank estimators of high-dimensional matrices",2
"78","10.1214/11-AOS875",2011,"A note on the de la {G}arza phenomenon for locally optimal designs",0
"79","10.1214/10-AOS870",2011,"Sparse linear discriminant analysis by thresholding for high dimensional data",3
"80","10.1214/10-AOS865",2011,"Delta method in large deviations and moderate deviations for estimators",0
"81","10.1214/10-AOS864",2011,"Performance guarantees for individualized treatment rules",0
"82","10.1214/10-AOS863",2011,"On multivariate quantiles under partial orders",0
"83","10.1214/10-AOS862",2011,"Intrinsic inference on the mean geodesic of planar shapes and tree discrimination by leaf growth",0
